address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x0040C160,369,0x0040C2D0,sub_40C160,,,unclassified,0.00,unknown,,false,,,,
0x0040C2E0,1668,0x0040C963,sub_40C2E0,,,unclassified,0.00,unknown,,false,,,,
0x0040C970,213,0x0040CA44,sub_40C970,,,unclassified,0.00,unknown,,false,,,,
0x0040CA50,2390,0x0040D3A5,sub_40CA50,,,unclassified,0.00,unknown,,false,,,,
0x0040D3B0,260,0x0040D4B3,sub_40D3B0,,,unclassified,0.00,unknown,,false,,,,
0x0040D4C0,1242,0x0040D999,sub_40D4C0,,,unclassified,0.00,unknown,,false,,,,
0x0040D9A0,216,0x0040DA77,sub_40D9A0,,,unclassified,0.00,unknown,,false,,,,
0x0040DA80,2048,0x0040E27F,sub_40DA80,,,unclassified,0.00,unknown,,false,,,,
0x0040E280,406,0x0040E415,sub_40E280,,,unclassified,0.00,unknown,,false,,,,
0x0040E420,197,0x0040E4E4,sub_40E420,,,unclassified,0.00,unknown,,false,,,,
0x0040E4F0,50,0x0040E521,sub_40E4F0,,,unclassified,0.00,unknown,,false,,,,
0x0040E530,128,0x0040E5AF,sub_40E530,,,unclassified,0.00,unknown,,false,,,,
0x0040E5B0,1310,0x0040EACD,sub_40E5B0,,,unclassified,0.00,unknown,,false,,,,
0x0040EC00,325,0x0040ED44,sub_40EC00,,,unclassified,0.00,unknown,,false,,,,
0x0040EDF0,1178,0x0040F289,sub_40EDF0,,,unclassified,0.00,unknown,,false,,,,
0x0040F3C0,528,0x0040F5CF,sub_40F3C0,,,unclassified,0.00,unknown,,false,,,,
0x0040F6B0,575,0x0040F8EE,sub_40F6B0,,,unclassified,0.00,unknown,,false,,,,
0x0040F8F0,566,0x0040FB25,sub_40F8F0,,,unclassified,0.00,unknown,,false,,,,
0x0040FB30,89,0x0040FB88,sub_40FB30,,,unclassified,0.00,unknown,,false,,,,
0x0040FB90,256,0x0040FC8F,sub_40FB90,,,unclassified,0.00,unknown,,false,,,,
0x0040FC90,1285,0x00410194,sub_40FC90,,,unclassified,0.00,unknown,,false,,,,
0x004101A0,889,0x00410518,sub_4101A0,,,unclassified,0.00,unknown,,false,,,,
0x00410520,29464,0x00417837,sub_410520,,,unclassified,0.00,unknown,,false,,,,
0x00417AF0,33,0x00417B10,sub_417AF0,,,unclassified,0.00,unknown,,false,,,,
0x00417B20,107,0x00417B8A,sub_417B20,,,unclassified,0.00,unknown,,false,,,,
0x00417B90,151,0x00417C26,sub_417B90,,,unclassified,0.00,unknown,,false,,,,
0x00417C30,533,0x00417E44,sub_417C30,,,unclassified,0.00,unknown,,false,,,,
0x00417E50,680,0x004180F7,sub_417E50,,,unclassified,0.00,unknown,,false,,,,
0x00418110,16,0x0041811F,sub_418110,,,unclassified,0.00,unknown,,false,,,,
0x00418120,311,0x00418256,sub_418120,,,unclassified,0.00,unknown,,false,,,,
0x00418260,106,0x004182C9,sub_418260,,,unclassified,0.00,unknown,,false,,,,
0x004182D0,766,0x004185CD,sub_4182D0,,,unclassified,0.00,unknown,,false,,,,
0x004185D0,679,0x00418876,sub_4185D0,,,unclassified,0.00,unknown,,false,,,,
0x00418880,703,0x00418B3E,sub_418880,,,unclassified,0.00,unknown,,false,,,,
0x00418B40,820,0x00418E73,sub_418B40,,,unclassified,0.00,unknown,,false,,,,
0x00418E80,42,0x00418EA9,sub_418E80,,,unclassified,0.00,unknown,,false,,,,
0x00418EB0,262,0x00418FB5,sub_418EB0,,,unclassified,0.00,unknown,,false,,,,
0x00418FC0,298,0x004190E9,sub_418FC0,,,unclassified,0.00,unknown,,false,,,,
0x004190F0,998,0x004194D5,sub_4190F0,,,unclassified,0.00,unknown,,false,,,,
0x004194E0,301,0x0041960C,sub_4194E0,,,unclassified,0.00,unknown,,false,,,,
0x00419610,197,0x004196D4,sub_419610,,,unclassified,0.00,unknown,,false,,,,
0x004196E0,41,0x00419708,sub_4196E0,,,unclassified,0.00,unknown,,false,,,,
0x00419710,354,0x00419871,sub_419710,,,unclassified,0.00,unknown,,false,,,,
0x00419880,312,0x004199B7,sub_419880,,,unclassified,0.00,unknown,,false,,,,
0x004199C0,144,0x00419A4F,sub_4199C0,,,unclassified,0.00,unknown,,false,,,,
0x00419A50,800,0x00419D6F,sub_419A50,,,unclassified,0.00,unknown,,false,,,,
0x00419D70,31,0x00419D8E,sub_419D70,,,unclassified,0.00,unknown,,false,,,,
0x00419D90,47,0x00419DBE,sub_419D90,,,unclassified,0.00,unknown,,false,,,,
